episode_id,link_id,period,t0_clock_la,T2_clock_la,t3_clock_la,P_h,vT2_mph,capacity_vph,k_d,f_d_h,n,calibration_episode_count,x_hat_D_over_C,D_hat_veh_h,V_hat_veh,V_average_weekday_observed_veh,volume_error_veh,absolute_percentage_error_pct,mu_observed_recovery_median_veh_h,k_mu_observed,volume_evidence_status,mu_evidence_status
L405S-012-AVG-E1,L405S-012,AM,07:05,08:25,09:33,2.453918229166667,32.779999999999994,7188.0,1.1256875364146124,2.470121356471984,1.1,4,0.9940349010694712,7145.122868887359,25389.364766869632,26943.2,-1553.8352331303686,5.767077530250188,6560.4,0.9126878130217028,in_sample_average_weekday_canonical,observed_flow_derived_not_speed_identified
L405S-018-AVG-E1,L405S-018,PM,17:15,17:30,17:49,0.5682414213888889,44.32,10765.199999999999,1.0804127786407607,0.6763727490351361,1.1,4,0.8535409290400984,9188.538809302467,34018.623218664,31097.0,2921.6232186639972,9.395193165462898,7706.4,0.7158622227176458,in_sample_average_weekday_canonical,observed_flow_derived_not_speed_identified
L405S-115-AVG-E1,L405S-115,AM,06:34,07:35,09:30,2.9191772875,25.22,7176.599999999999,1.264390206103686,2.8714786257848233,1.1,4,1.0150897431238999,7284.893050502979,23046.344444416183,22933.8,112.54444441618398,0.49073613799799415,4922.4,0.6858958281080177,in_sample_average_weekday_canonical,observed_flow_derived_not_speed_identified
