t_min,link_id_x,handoff_link_id,role,observed,assigned_odme,GEH,link_id_y,q_vph
300,1,1.0,mainline,2108.4,2085.8,0.49,1,2108.4
300,2,2.0,mainline,2048.4,2009.2,0.87,2,2048.4
300,3,3.0,mainline,1517.6,1573.2,1.41,3,1517.6
300,4,4.0,mainline,1637.6,1652.6,0.37,4,1637.6
300,5,5.0,mainline,1816.0,1805.3,0.25,5,1816.0
300,6,6.0,mainline,1696.4,1687.4,0.22,6,1696.4
300,7,7.0,mainline,1750.0,1730.1,0.48,7,1750.0
300,8,8.0,mainline,1444.4,1435.6,0.23,8,1444.4
300,9,9.0,mainline,1584.8,1566.4,0.46,9,1584.8
300,10,10.0,mainline,2125.2,2102.3,0.5,10,2125.2
300,11,11.0,mainline,1918.8,1906.5,0.28,11,1918.8
300,12,12.0,mainline,2136.0,2115.4,0.45,12,2136.0
300,13,13.0,mainline,2130.8,2111.8,0.41,13,2130.8
300,14,14.0,mainline,1954.0,1942.5,0.26,14,1954.0
300,15,15.0,mainline,2076.8,2055.6,0.47,15,2076.8
300,16,16.0,mainline,1496.8,1486.5,0.27,16,1496.8
300,17,17.0,mainline,1828.4,1809.0,0.46,17,1828.4
300,18,18.0,mainline,1739.6,1724.5,0.36,18,1739.6
300,19,19.0,mainline,1584.4,1584.3,0.0,19,1584.4
300,20,20.0,mainline,1715.6,1708.5,0.17,20,1715.6
300,21,21.0,mainline,1455.6,1471.8,0.42,21,1455.6
300,22,22.0,mainline,1807.2,1798.5,0.21,22,1807.2
300,23,23.0,mainline,1980.0,1962.6,0.39,23,1980.0
315,1,1.0,mainline,2122.0,2108.4,0.3,1,2122.0
315,2,2.0,mainline,2116.4,2093.2,0.5,2,2116.4
315,3,3.0,mainline,1752.4,1786.3,0.81,3,1752.4
315,4,4.0,mainline,1875.6,1881.8,0.14,4,1875.6
315,5,5.0,mainline,1991.2,1983.3,0.18,5,1991.2
315,6,6.0,mainline,1791.6,1788.6,0.07,6,1791.6
