link_id,tmc_id,time_of_day,speed_mph,flow_vehph
L405S-001,1222782,00:00,65.97999999999999,5167.2
L405S-001,1222782,00:05,65.52000000000001,5160.0
L405S-001,1222782,00:10,65.53999999999999,5385.6
L405S-001,1222782,00:15,65.22,5481.6
L405S-001,1222782,00:20,65.67999999999999,5568.0
L405S-001,1222782,00:25,65.38000000000001,5395.2
L405S-001,1222782,00:30,65.8,5092.8
L405S-001,1222782,00:35,66.47999999999999,5064.0
L405S-001,1222782,00:40,66.14,5155.2
L405S-001,1222782,00:45,65.74000000000001,5378.4
L405S-001,1222782,00:50,65.67999999999999,5188.8
L405S-001,1222782,00:55,65.4,5011.2
L405S-001,1222782,01:00,64.64,5023.2
L405S-001,1222782,01:05,64.38000000000001,5248.8
L405S-001,1222782,01:10,64.67999999999999,5100.0
L405S-001,1222782,01:15,64.56,4934.4
L405S-001,1222782,01:20,64.28,5169.6
L405S-001,1222782,01:25,64.6,5090.4
L405S-001,1222782,01:30,63.88000000000001,5080.8
L405S-001,1222782,01:35,63.760000000000005,5414.4
L405S-001,1222782,01:40,64.1,5049.6
L405S-001,1222782,01:45,63.52,5251.2
L405S-001,1222782,01:50,63.7,4903.2
L405S-001,1222782,01:55,63.720000000000006,5116.8
L405S-001,1222782,02:00,63.36,4747.2
L405S-001,1222782,02:05,62.9,4807.2
L405S-001,1222782,02:10,62.52,4713.6
L405S-001,1222782,02:15,62.52,4970.4
L405S-001,1222782,02:20,62.56,4987.2
L405S-001,1222782,02:25,62.82000000000001,4946.4
L405S-001,1222782,02:30,63.160000000000004,5097.6
L405S-001,1222782,02:35,62.68000000000001,5119.2
L405S-001,1222782,02:40,62.620000000000005,5335.2
L405S-001,1222782,02:45,62.720000000000006,5095.2
L405S-001,1222782,02:50,63.120000000000005,5085.6
L405S-001,1222782,02:55,62.46,5030.4
L405S-001,1222782,03:00,62.220000000000006,5071.2
L405S-001,1222782,03:05,62.02,4692.0
L405S-001,1222782,03:10,62.239999999999995,5080.8
L405S-001,1222782,03:15,61.58,4972.8
L405S-001,1222782,03:20,61.52,5174.4
L405S-001,1222782,03:25,61.760000000000005,4975.2
L405S-001,1222782,03:30,61.720000000000006,5402.4
L405S-001,1222782,03:35,61.74000000000001,5164.8
L405S-001,1222782,03:40,61.620000000000005,5234.4
L405S-001,1222782,03:45,62.04,5371.2
L405S-001,1222782,03:50,62.02,4946.4
L405S-001,1222782,03:55,62.32000000000001,5056.8
L405S-001,1222782,04:00,62.42,5148.0
L405S-001,1222782,04:05,62.18000000000001,5088.0
L405S-001,1222782,04:10,62.14,5016.0
L405S-001,1222782,04:15,61.839999999999996,5352.0
L405S-001,1222782,04:20,62.02,5349.6
L405S-001,1222782,04:25,62.14,5320.8
L405S-001,1222782,04:30,61.96,5229.6
L405S-001,1222782,04:35,61.760000000000005,5359.2
L405S-001,1222782,04:40,62.1,5376.0
L405S-001,1222782,04:45,62.18000000000001,5186.4
L405S-001,1222782,04:50,62.82000000000001,5104.8
L405S-001,1222782,04:55,63.08,5032.8
L405S-001,1222782,05:00,63.11999999999999,5090.4
L405S-001,1222782,05:05,62.660000000000004,4929.6
L405S-001,1222782,05:10,62.839999999999996,5032.8
L405S-001,1222782,05:15,62.82000000000001,5246.4
L405S-001,1222782,05:20,63.1,5162.4
L405S-001,1222782,05:25,62.92,5356.8
L405S-001,1222782,05:30,62.8,5306.4
L405S-001,1222782,05:35,63.1,5268.0
L405S-001,1222782,05:40,63.06,5162.4
L405S-001,1222782,05:45,62.760000000000005,5328.0
L405S-001,1222782,05:50,62.8,5299.2
L405S-001,1222782,05:55,62.74000000000001,5176.8
L405S-001,1222782,06:00,62.94000000000001,4857.6
L405S-001,1222782,06:05,62.88000000000001,5436.0
L405S-001,1222782,06:10,62.46,5464.8
L405S-001,1222782,06:15,62.9,5378.4
L405S-001,1222782,06:20,63.02,5316.0
L405S-001,1222782,06:25,62.86,5148.0
L405S-001,1222782,06:30,62.760000000000005,5193.6
L405S-001,1222782,06:35,62.06,5443.2
L405S-001,1222782,06:40,62.34000000000001,5455.2
L405S-001,1222782,06:45,62.720000000000006,5172.0
L405S-001,1222782,06:50,62.480000000000004,5484.0
L405S-001,1222782,06:55,62.5,5431.2
L405S-001,1222782,07:00,62.120000000000005,5383.2
L405S-001,1222782,07:05,62.18000000000001,5328.0
L405S-001,1222782,07:10,60.44,5284.8
L405S-001,1222782,07:15,59.040000000000006,5570.4
L405S-001,1222782,07:20,60.339999999999996,5491.2
L405S-001,1222782,07:25,61.04,5407.2
L405S-001,1222782,07:30,61.4,5464.8
L405S-001,1222782,07:35,61.56,5448.0
L405S-001,1222782,07:40,61.760000000000005,5416.8
L405S-001,1222782,07:45,61.839999999999996,5356.8
L405S-001,1222782,07:50,61.94,5272.8
L405S-001,1222782,07:55,61.68000000000001,5433.6
L405S-001,1222782,08:00,61.839999999999996,5472.0
L405S-001,1222782,08:05,61.32000000000001,5577.6
L405S-001,1222782,08:10,61.44,5424.0
L405S-001,1222782,08:15,61.86,5364.0
L405S-001,1222782,08:20,61.7,5325.6
L405S-001,1222782,08:25,61.64000000000001,5364.0
L405S-001,1222782,08:30,61.7,5239.2
L405S-001,1222782,08:35,61.48,5409.6
L405S-001,1222782,08:40,61.5,5522.4
L405S-001,1222782,08:45,62.000000000000014,5400.0
L405S-001,1222782,08:50,62.260000000000005,5409.6
L405S-001,1222782,08:55,62.1,5421.6
L405S-001,1222782,09:00,61.9,5498.4
L405S-001,1222782,09:05,61.86,5666.4
L405S-001,1222782,09:10,61.9,5522.4
L405S-001,1222782,09:15,62.38000000000001,5508.0
L405S-001,1222782,09:20,62.660000000000004,5445.6
L405S-001,1222782,09:25,62.24000000000001,5467.2
L405S-001,1222782,09:30,61.84000000000001,5469.6
L405S-001,1222782,09:35,62.14,5632.8
L405S-001,1222782,09:40,62.660000000000004,5443.2
L405S-001,1222782,09:45,62.160000000000004,5608.8
L405S-001,1222782,09:50,62.38000000000001,5608.8
L405S-001,1222782,09:55,62.1,5508.0
L405S-001,1222782,10:00,62.06,5527.2
L405S-001,1222782,10:05,61.879999999999995,5524.8
L405S-001,1222782,10:10,61.92,5572.8
L405S-001,1222782,10:15,62.339999999999996,5656.8
L405S-001,1222782,10:20,62.48,5704.8
L405S-001,1222782,10:25,62.080000000000005,5856.0
L405S-001,1222782,10:30,62.8,5546.4
L405S-001,1222782,10:35,62.64000000000001,5548.8
L405S-001,1222782,10:40,63.04,5618.4
L405S-001,1222782,10:45,63.58,5616.0
L405S-001,1222782,10:50,63.28000000000001,5616.0
L405S-001,1222782,10:55,63.40000000000001,5448.0
L405S-001,1222782,11:00,63.67999999999999,5404.8
L405S-001,1222782,11:05,63.96,5361.6
L405S-001,1222782,11:10,64.14000000000001,5198.4
L405S-001,1222782,11:15,64.52000000000001,5332.8
L405S-001,1222782,11:20,64.46000000000001,5356.8
L405S-001,1222782,11:25,64.98,5313.6
L405S-001,1222782,11:30,64.74,5373.6
L405S-001,1222782,11:35,64.66,5282.4
L405S-001,1222782,11:40,64.0,5097.6
L405S-001,1222782,11:45,64.36,5097.6
L405S-001,1222782,11:50,64.7,5037.6
L405S-001,1222782,11:55,64.84,4939.2
L405S-001,1222782,12:00,64.86,4874.4
L405S-001,1222782,12:05,65.12,5013.6
L405S-001,1222782,12:10,65.22,4960.8
L405S-001,1222782,12:15,65.47999999999999,5068.8
L405S-001,1222782,12:20,66.32000000000001,4929.6
L405S-001,1222782,12:25,66.03999999999999,4812.0
L405S-001,1222782,12:30,66.38,4672.8
L405S-001,1222782,12:35,66.34,4790.4
L405S-001,1222782,12:40,66.72,4987.2
L405S-001,1222782,12:45,66.7,4548.0
L405S-001,1222782,12:50,66.96000000000001,4716.0
L405S-001,1222782,12:55,67.14,4346.4
L405S-001,1222782,13:00,66.67999999999999,4504.8
L405S-001,1222782,13:05,67.08,4228.8
L405S-001,1222782,13:10,66.7,4298.4
L405S-001,1222782,13:15,67.16,3751.2
L405S-001,1222782,13:20,67.52000000000001,3696.0
L405S-001,1222782,13:25,67.06,3902.4
L405S-001,1222782,13:30,66.74,3727.2
L405S-001,1222782,13:35,66.84,3583.2
L405S-001,1222782,13:40,66.26,3602.4
L405S-001,1222782,13:45,66.58000000000001,3564.0
L405S-001,1222782,13:50,66.82000000000001,3511.2
L405S-001,1222782,13:55,66.62,3568.8
L405S-001,1222782,14:00,68.14,3393.6
L405S-001,1222782,14:05,68.64,3501.6
L405S-001,1222782,14:10,69.44,3259.2
L405S-001,1222782,14:15,68.94,3374.4
L405S-001,1222782,14:20,69.36,3415.2
L405S-001,1222782,14:25,69.06,3434.4
L405S-001,1222782,14:30,69.64000000000001,3276.0
L405S-001,1222782,14:35,70.22,3204.0
L405S-001,1222782,14:40,70.02000000000001,3004.8
L405S-001,1222782,14:45,69.28,3391.2
L405S-001,1222782,14:50,69.98,3057.6
L405S-001,1222782,14:55,69.8,3067.2
L405S-001,1222782,15:00,68.44,3163.2
L405S-001,1222782,15:05,68.58000000000001,2832.0
L405S-001,1222782,15:10,68.3,2973.6
L405S-001,1222782,15:15,68.96000000000001,3074.4
L405S-001,1222782,15:20,69.22,2964.0
L405S-001,1222782,15:25,69.0,2887.2
L405S-001,1222782,15:30,69.5,2899.2
L405S-001,1222782,15:35,69.17999999999999,2752.8
L405S-001,1222782,15:40,69.76,2851.2
L405S-001,1222782,15:45,69.24,2832.0
L405S-001,1222782,15:50,69.03999999999999,2572.8
L405S-001,1222782,15:55,68.97999999999999,2733.6
L405S-001,1222782,16:00,69.14,2385.6
L405S-001,1222782,16:05,68.64,2433.6
L405S-001,1222782,16:10,69.08,2414.4
L405S-001,1222782,16:15,68.67999999999999,2347.2
L405S-001,1222782,16:20,69.28,2241.6
L405S-001,1222782,16:25,69.52000000000001,2136.0
L405S-001,1222782,16:30,68.8,2100.0
L405S-001,1222782,16:35,69.22,2013.6
L405S-001,1222782,16:40,68.78,2044.8
L405S-001,1222782,16:45,69.64000000000001,2083.2
L405S-001,1222782,16:50,69.53999999999999,1903.2
L405S-001,1222782,16:55,68.78,1833.6
L405S-001,1222782,17:00,69.5,1862.4
L405S-001,1222782,17:05,68.74,1555.2
L405S-001,1222782,17:10,68.52,1723.2
L405S-001,1222782,17:15,68.16,1773.6
L405S-001,1222782,17:20,68.44,1576.8
L405S-001,1222782,17:25,67.84,1636.8
L405S-001,1222782,17:30,66.82000000000001,1605.6
L405S-001,1222782,17:35,66.58000000000001,1416.0
L405S-001,1222782,17:40,67.18,1286.4
L405S-001,1222782,17:45,67.06,1300.8
L405S-001,1222782,17:50,68.26,1120.8
L405S-001,1222782,17:55,67.88,1118.4
L405S-001,1222782,18:00,67.96,1032.0
L405S-001,1222782,18:05,67.58,979.2
L405S-001,1222782,18:10,68.5,912.0
L405S-001,1222782,18:15,68.16,876.0
L405S-001,1222782,18:20,67.86,693.6
L405S-001,1222782,18:25,68.8,787.2
L405S-001,1222782,18:30,68.53999999999999,789.6
L405S-001,1222782,18:35,68.34,751.2
L405S-001,1222782,18:40,69.2,633.6
L405S-001,1222782,18:45,68.64,693.6
L405S-001,1222782,18:50,68.84,628.8
L405S-001,1222782,18:55,69.14,636.0
L405S-001,1222782,19:00,68.3,600.0
L405S-001,1222782,19:05,68.22,556.8
L405S-001,1222782,19:10,68.16,537.6
L405S-001,1222782,19:15,68.74,724.8
L405S-001,1222782,19:20,68.86,645.6
L405S-001,1222782,19:25,68.91999999999999,648.0
L405S-001,1222782,19:30,69.4,619.2
L405S-001,1222782,19:35,68.36,624.0
L405S-001,1222782,19:40,68.46000000000001,556.8
L405S-001,1222782,19:45,68.76,619.2
L405S-001,1222782,19:50,68.42,535.2
L405S-001,1222782,19:55,68.42,592.8
L405S-001,1222782,20:00,69.5,643.2
L405S-001,1222782,20:05,69.78,602.4
L405S-001,1222782,20:10,69.25999999999999,549.6
L405S-001,1222782,20:15,69.35999999999999,684.0
L405S-001,1222782,20:20,69.17999999999999,655.2
L405S-001,1222782,20:25,69.66,616.8
L405S-001,1222782,20:30,68.86,734.4
L405S-001,1222782,20:35,68.88,667.2
L405S-001,1222782,20:40,68.96000000000001,763.2
L405S-001,1222782,20:45,69.1,775.2
L405S-001,1222782,20:50,69.08,739.2
L405S-001,1222782,20:55,69.4,691.2
L405S-001,1222782,21:00,68.24,676.8
L405S-001,1222782,21:05,68.5,700.8
L405S-001,1222782,21:10,68.47999999999999,871.2
L405S-001,1222782,21:15,68.52,912.0
L405S-001,1222782,21:20,68.67999999999999,1039.2
L405S-001,1222782,21:25,68.72,1231.2
L405S-001,1222782,21:30,68.3,1514.4
L405S-001,1222782,21:35,69.1,1442.4
L405S-001,1222782,21:40,69.12,1586.4
L405S-001,1222782,21:45,69.25999999999999,1761.6
L405S-001,1222782,21:50,68.3,1718.4
L405S-001,1222782,21:55,68.26,1620.0
L405S-001,1222782,22:00,68.96000000000001,1636.8
L405S-001,1222782,22:05,69.02000000000001,1591.2
L405S-001,1222782,22:10,68.54,1833.6
L405S-001,1222782,22:15,69.74,2076.0
L405S-001,1222782,22:20,68.97999999999999,2253.6
L405S-001,1222782,22:25,68.97999999999999,2419.2
L405S-001,1222782,22:30,68.96000000000001,2788.8
L405S-001,1222782,22:35,69.46000000000001,3028.8
L405S-001,1222782,22:40,70.02000000000001,3405.6
L405S-001,1222782,22:45,70.0,3540.0
L405S-001,1222782,22:50,69.24,3220.8
L405S-001,1222782,22:55,66.88000000000001,3192.0
L405S-001,1222782,23:00,67.42,3103.2
L405S-001,1222782,23:05,67.84,3189.6
L405S-001,1222782,23:10,67.96000000000001,3696.0
L405S-001,1222782,23:15,67.64,3890.4
L405S-001,1222782,23:20,67.96000000000001,4392.0
L405S-001,1222782,23:25,67.66,4380.0
L405S-001,1222782,23:30,67.53999999999999,4720.8
L405S-001,1222782,23:35,66.64,4917.6
L405S-001,1222782,23:40,66.52000000000001,5025.6
L405S-001,1222782,23:45,67.02000000000001,4713.6
L405S-001,1222782,23:50,67.02000000000001,4704.0
L405S-001,1222782,23:55,67.46000000000001,4627.2
L405S-001,1223027,00:00,65.96000000000001,6458.4
L405S-001,1223027,00:05,65.35999999999999,6441.6
L405S-001,1223027,00:10,65.28,6799.2
L405S-001,1223027,00:15,65.1,6962.4
L405S-001,1223027,00:20,65.4,7147.2
L405S-001,1223027,00:25,65.14,6758.4
L405S-001,1223027,00:30,66.16,6470.4
L405S-001,1223027,00:35,66.82000000000001,6576.0
L405S-001,1223027,00:40,66.3,6460.8
L405S-001,1223027,00:45,65.62,6739.2
L405S-001,1223027,00:50,65.22,6475.2
L405S-001,1223027,00:55,65.12,6388.8
L405S-001,1223027,01:00,64.46000000000001,6355.2
L405S-001,1223027,01:05,63.86,6549.6
L405S-001,1223027,01:10,63.52,6372.0
L405S-001,1223027,01:15,63.879999999999995,6235.2
L405S-001,1223027,01:20,63.96,6544.8
L405S-001,1223027,01:25,64.16,6458.4
L405S-001,1223027,01:30,63.620000000000005,6386.4
L405S-001,1223027,01:35,63.02,6856.8
L405S-001,1223027,01:40,62.88000000000001,6235.2
L405S-001,1223027,01:45,62.739999999999995,6684.0
L405S-001,1223027,01:50,62.94,6139.2
L405S-001,1223027,01:55,62.64000000000001,6247.2
L405S-001,1223027,02:00,62.120000000000005,5908.8
L405S-001,1223027,02:05,61.36,5925.6
L405S-001,1223027,02:10,61.220000000000006,5685.6
L405S-001,1223027,02:15,61.480000000000004,6014.4
L405S-001,1223027,02:20,62.06,6266.4
L405S-001,1223027,02:25,62.120000000000005,5836.8
L405S-001,1223027,02:30,62.64000000000001,6283.2
L405S-001,1223027,02:35,62.080000000000005,6110.4
L405S-001,1223027,02:40,62.06,6638.4
L405S-001,1223027,02:45,62.220000000000006,6160.8
L405S-001,1223027,02:50,62.52,6288.0
L405S-001,1223027,02:55,61.980000000000004,6134.4
L405S-001,1223027,03:00,61.620000000000005,6084.0
L405S-001,1223027,03:05,61.339999999999996,5844.0
L405S-001,1223027,03:10,61.6,6088.8
L405S-001,1223027,03:15,61.220000000000006,6268.8
L405S-001,1223027,03:20,61.1,6240.0
L405S-001,1223027,03:25,60.94000000000001,6132.0
L405S-001,1223027,03:30,60.88000000000001,6672.0
L405S-001,1223027,03:35,60.64,6403.2
L405S-001,1223027,03:40,60.660000000000004,6501.6
L405S-001,1223027,03:45,60.9,6499.2
L405S-001,1223027,03:50,61.34000000000001,6189.6
L405S-001,1223027,03:55,61.220000000000006,6232.8
L405S-001,1223027,04:00,60.98,6446.4
L405S-001,1223027,04:05,60.64000000000001,6271.2
L405S-001,1223027,04:10,60.80000000000001,6160.8
L405S-001,1223027,04:15,60.660000000000004,6631.2
L405S-001,1223027,04:20,60.38000000000001,6547.2
L405S-001,1223027,04:25,60.24000000000001,6612.0
L405S-001,1223027,04:30,60.540000000000006,6367.2
L405S-001,1223027,04:35,60.279999999999994,6770.4
L405S-001,1223027,04:40,60.2,6907.2
L405S-001,1223027,04:45,60.620000000000005,6516.0
L405S-001,1223027,04:50,61.04,6261.6
L405S-001,1223027,04:55,61.42,5808.0
L405S-001,1223027,05:00,61.78000000000001,6213.6
L405S-001,1223027,05:05,62.06,6096.0
L405S-001,1223027,05:10,61.8,6141.6
L405S-001,1223027,05:15,61.620000000000005,6360.0
L405S-001,1223027,05:20,62.14,6352.8
L405S-001,1223027,05:25,62.06,6765.6
L405S-001,1223027,05:30,61.839999999999996,6494.4
L405S-001,1223027,05:35,61.92,6650.4
L405S-001,1223027,05:40,62.339999999999996,6328.8
L405S-001,1223027,05:45,61.78000000000001,6672.0
L405S-001,1223027,05:50,61.78000000000001,6513.6
L405S-001,1223027,05:55,61.82000000000001,6516.0
L405S-001,1223027,06:00,62.480000000000004,5817.6
L405S-001,1223027,06:05,62.620000000000005,6835.2
L405S-001,1223027,06:10,62.36,6806.4
L405S-001,1223027,06:15,62.8,6621.6
L405S-001,1223027,06:20,62.94000000000001,6715.2
L405S-001,1223027,06:25,62.8,6607.2
L405S-001,1223027,06:30,62.68000000000001,6537.6
L405S-001,1223027,06:35,61.720000000000006,6741.6
L405S-001,1223027,06:40,61.68000000000001,6996.0
L405S-001,1223027,06:45,62.120000000000005,6523.2
L405S-001,1223027,06:50,61.6,7084.8
L405S-001,1223027,06:55,61.46,6741.6
L405S-001,1223027,07:00,61.28000000000001,6902.4
L405S-001,1223027,07:05,59.86,6657.6
L405S-001,1223027,07:10,58.67999999999999,6703.2
L405S-001,1223027,07:15,57.64,7032.0
L405S-001,1223027,07:20,58.52,7125.6
L405S-001,1223027,07:25,59.6,6818.4
L405S-001,1223027,07:30,59.86,7012.8
L405S-001,1223027,07:35,60.32000000000001,7132.8
L405S-001,1223027,07:40,60.92,6844.8
L405S-001,1223027,07:45,61.279999999999994,6885.6
L405S-001,1223027,07:50,61.18000000000001,6885.6
L405S-001,1223027,07:55,60.86,6904.8
L405S-001,1223027,08:00,61.120000000000005,6974.4
L405S-001,1223027,08:05,60.52,7216.8
L405S-001,1223027,08:10,60.92,7048.8
L405S-001,1223027,08:15,60.980000000000004,6897.6
L405S-001,1223027,08:20,61.56,6830.4
L405S-001,1223027,08:25,61.74000000000001,6936.0
L405S-001,1223027,08:30,61.8,6796.8
L405S-001,1223027,08:35,61.839999999999996,6986.4
L405S-001,1223027,08:40,61.48,7077.6
L405S-001,1223027,08:45,61.88000000000001,6986.4
L405S-001,1223027,08:50,62.32000000000001,6936.0
L405S-001,1223027,08:55,62.260000000000005,6984.0
L405S-001,1223027,09:00,61.96,7072.8
L405S-001,1223027,09:05,61.82000000000001,7231.2
L405S-001,1223027,09:10,61.92,7123.2
L405S-001,1223027,09:15,62.24000000000001,7233.6
L405S-001,1223027,09:20,62.620000000000005,6996.0
L405S-001,1223027,09:25,61.839999999999996,7116.0
L405S-001,1223027,09:30,61.94000000000001,7168.8
L405S-001,1223027,09:35,61.82000000000001,7296.0
L405S-001,1223027,09:40,62.080000000000005,7072.8
L405S-001,1223027,09:45,61.720000000000006,7228.8
L405S-001,1223027,09:50,61.92,7274.4
L405S-001,1223027,09:55,61.9,7202.4
L405S-001,1223027,10:00,61.86,7082.4
L405S-001,1223027,10:05,61.540000000000006,7104.0
L405S-001,1223027,10:10,62.02,7140.0
L405S-001,1223027,10:15,62.5,7281.6
L405S-001,1223027,10:20,62.06,7336.8
L405S-001,1223027,10:25,61.2,7351.2
L405S-001,1223027,10:30,62.260000000000005,7224.0
L405S-001,1223027,10:35,62.14,7188.0
L405S-001,1223027,10:40,62.42,7087.2
L405S-001,1223027,10:45,63.14,7096.8
L405S-001,1223027,10:50,63.02,7084.8
L405S-001,1223027,10:55,63.3,6948.0
L405S-001,1223027,11:00,63.82000000000001,6986.4
L405S-001,1223027,11:05,63.86,6835.2
L405S-001,1223027,11:10,63.94000000000001,6592.8
L405S-001,1223027,11:15,65.16,6698.4
L405S-001,1223027,11:20,65.3,6789.6
L405S-001,1223027,11:25,65.78,6667.2
L405S-001,1223027,11:30,65.7,6775.2
L405S-001,1223027,11:35,65.74,6631.2
L405S-001,1223027,11:40,65.22,6535.2
L405S-001,1223027,11:45,65.5,6492.0
L405S-001,1223027,11:50,65.64,6403.2
L405S-001,1223027,11:55,65.84,6302.4
L405S-001,1223027,12:00,65.8,6180.0
L405S-001,1223027,12:05,65.8,6100.8
L405S-001,1223027,12:10,66.22,6158.4
L405S-001,1223027,12:15,66.46000000000001,5971.2
L405S-001,1223027,12:20,66.9,6081.6
L405S-001,1223027,12:25,66.84,5808.0
L405S-001,1223027,12:30,67.08,5796.0
L405S-001,1223027,12:35,67.22,5666.4
L405S-001,1223027,12:40,67.47999999999999,6112.8
L405S-001,1223027,12:45,67.86,5527.2
L405S-001,1223027,12:50,67.75999999999999,5702.4
L405S-001,1223027,12:55,67.62,5253.6
L405S-001,1223027,13:00,67.42,5524.8
L405S-001,1223027,13:05,67.97999999999999,4941.6
L405S-001,1223027,13:10,68.1,5160.0
L405S-001,1223027,13:15,68.28,4507.2
L405S-001,1223027,13:20,68.74,4312.8
L405S-001,1223027,13:25,68.08,4612.8
L405S-001,1223027,13:30,67.78,4524.0
L405S-001,1223027,13:35,67.24,4192.8
L405S-001,1223027,13:40,67.24,4286.4
L405S-001,1223027,13:45,67.47999999999999,4058.4
L405S-001,1223027,13:50,67.92,4152.0
L405S-001,1223027,13:55,67.85999999999999,4152.0
L405S-001,1223027,14:00,69.16,3972.0
L405S-001,1223027,14:05,69.8,4024.8
L405S-001,1223027,14:10,70.1,3864.0
L405S-001,1223027,14:15,69.64,3772.8
L405S-001,1223027,14:20,69.53999999999999,3948.0
L405S-001,1223027,14:25,69.94000000000001,3924.0
L405S-001,1223027,14:30,70.64,3765.6
L405S-001,1223027,14:35,70.72,3604.8
L405S-001,1223027,14:40,70.64,3439.2
L405S-001,1223027,14:45,70.22,3902.4
L405S-001,1223027,14:50,70.86,3504.0
L405S-001,1223027,14:55,70.74,3542.4
L405S-001,1223027,15:00,69.4,3556.8
L405S-001,1223027,15:05,68.94,3304.8
L405S-001,1223027,15:10,68.62,3321.6
L405S-001,1223027,15:15,69.08,3506.4
L405S-001,1223027,15:20,69.14,3405.6
L405S-001,1223027,15:25,69.26,3264.0
L405S-001,1223027,15:30,69.44,3333.6
L405S-001,1223027,15:35,69.26,3177.6
L405S-001,1223027,15:40,69.97999999999999,3218.4
L405S-001,1223027,15:45,69.7,3235.2
L405S-001,1223027,15:50,69.66,2988.0
L405S-001,1223027,15:55,69.46000000000001,3021.6
L405S-001,1223027,16:00,69.53999999999999,2736.0
L405S-001,1223027,16:05,69.32000000000001,2764.8
L405S-001,1223027,16:10,69.38000000000001,2731.2
L405S-001,1223027,16:15,69.3,2652.0
L405S-001,1223027,16:20,69.82000000000001,2431.2
L405S-001,1223027,16:25,70.16,2277.6
L405S-001,1223027,16:30,69.4,2388.0
L405S-001,1223027,16:35,69.6,2188.8
L405S-001,1223027,16:40,69.42,2229.6
L405S-001,1223027,16:45,70.12,2316.0
L405S-001,1223027,16:50,70.6,2152.8
L405S-001,1223027,16:55,69.42,1968.0
L405S-001,1223027,17:00,70.62,2124.0
L405S-001,1223027,17:05,69.64000000000001,1716.0
L405S-001,1223027,17:10,69.34,1905.6
L405S-001,1223027,17:15,68.12,1989.6
L405S-001,1223027,17:20,68.96000000000001,1761.6
L405S-001,1223027,17:25,68.46000000000001,1788.0
L405S-001,1223027,17:30,67.36,1728.0
L405S-001,1223027,17:35,67.4,1564.8
L405S-001,1223027,17:40,68.1,1440.0
L405S-001,1223027,17:45,67.64,1360.8
L405S-001,1223027,17:50,68.08,1207.2
L405S-001,1223027,17:55,68.9,1168.8
L405S-001,1223027,18:00,68.02000000000001,1108.8
L405S-001,1223027,18:05,68.2,1008.0
L405S-001,1223027,18:10,69.52000000000001,979.2
L405S-001,1223027,18:15,68.94,876.0
L405S-001,1223027,18:20,68.06,780.0
L405S-001,1223027,18:25,69.47999999999999,775.2
L405S-001,1223027,18:30,69.06,844.8
L405S-001,1223027,18:35,69.72,760.8
L405S-001,1223027,18:40,69.78,660.0
L405S-001,1223027,18:45,69.8,710.4
L405S-001,1223027,18:50,69.9,643.2
L405S-001,1223027,18:55,69.92,650.4
L405S-001,1223027,19:00,69.66,624.0
L405S-001,1223027,19:05,68.53999999999999,576.0
L405S-001,1223027,19:10,68.58,559.2
L405S-001,1223027,19:15,69.44000000000001,712.8
L405S-001,1223027,19:20,69.64,662.4
L405S-001,1223027,19:25,69.62,662.4
L405S-001,1223027,19:30,70.14,650.4
L405S-001,1223027,19:35,69.17999999999999,628.8
L405S-001,1223027,19:40,69.08,549.6
L405S-001,1223027,19:45,69.6,648.0
L405S-001,1223027,19:50,68.7,554.4
L405S-001,1223027,19:55,69.32000000000001,568.8
L405S-001,1223027,20:00,69.92,650.4
L405S-001,1223027,20:05,70.3,624.0
L405S-001,1223027,20:10,70.12,532.8
L405S-001,1223027,20:15,70.3,703.2
L405S-001,1223027,20:20,69.7,669.6
L405S-001,1223027,20:25,70.56,580.8
L405S-001,1223027,20:30,69.58,758.4
L405S-001,1223027,20:35,70.1,660.0
L405S-001,1223027,20:40,70.0,768.0
L405S-001,1223027,20:45,69.66,811.2
L405S-001,1223027,20:50,69.64,765.6
L405S-001,1223027,20:55,69.97999999999999,688.8
L405S-001,1223027,21:00,69.14000000000001,676.8
L405S-001,1223027,21:05,69.08,712.8
L405S-001,1223027,21:10,68.82000000000001,856.8
L405S-001,1223027,21:15,69.16,936.0
L405S-001,1223027,21:20,68.72,1051.2
L405S-001,1223027,21:25,68.84,1252.8
L405S-001,1223027,21:30,68.67999999999999,1548.0
L405S-001,1223027,21:35,69.38,1495.2
L405S-001,1223027,21:40,69.94,1684.8
L405S-001,1223027,21:45,69.2,1900.8
L405S-001,1223027,21:50,68.26,1807.2
L405S-001,1223027,21:55,68.04,1747.2
L405S-001,1223027,22:00,69.08,1699.2
L405S-001,1223027,22:05,68.88,1639.2
L405S-001,1223027,22:10,68.97999999999999,1994.4
L405S-001,1223027,22:15,69.34,2140.8
L405S-001,1223027,22:20,69.74,2457.6
L405S-001,1223027,22:25,69.66,2695.2
L405S-001,1223027,22:30,69.3,3036.0
L405S-001,1223027,22:35,70.06,3304.8
L405S-001,1223027,22:40,70.62,3895.2
L405S-001,1223027,22:45,70.58,3993.6
L405S-001,1223027,22:50,68.1,3741.6
L405S-001,1223027,22:55,63.4,3590.4
L405S-001,1223027,23:00,65.24,3590.4
L405S-001,1223027,23:05,67.08000000000001,3739.2
L405S-001,1223027,23:10,67.94,4180.8
L405S-001,1223027,23:15,68.08,4826.4
L405S-001,1223027,23:20,68.0,5143.2
L405S-001,1223027,23:25,67.78,5452.8
L405S-001,1223027,23:30,67.67999999999999,5560.8
L405S-001,1223027,23:35,66.52000000000001,6160.8
